clae,prestadores,edicion,establecimientos,clae6_desc,clae3,clae3_desc,clae2,clae2_desc,letra,letra_desc
492140,29,previaje 3,37,"Servicio de transporte automotor urbano y suburbano no regular de pasajeros de oferta libre,  excepto mediante taxis y remises, alquiler de autos con chofer y transporte escolar (Incluye servicios urbanos especiales como charters, servicios contratados, servicios para ámbito portuario o aeroportuario, servicio de hipódromos y espectáculos deportivos y culturales)",492,Servicio de transporte automotor,49,Transporte terrestre y por tuberías,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
492150,85,previaje 3,229,"Servicio de transporte automotor interurbano regular de pasajeros, E1203excepto transporte internacional (Incluye los llamados servicios de larga distancia)",492,Servicio de transporte automotor,49,Transporte terrestre y por tuberías,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
492160,26,previaje 3,28,Servicio de transporte automotor interurbano no regular de pasajeros,492,Servicio de transporte automotor,49,Transporte terrestre y por tuberías,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
492180,186,previaje 3,198,Servicio de transporte automotor turístico de pasajeros,492,Servicio de transporte automotor,49,Transporte terrestre y por tuberías,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
492190,67,previaje 3,69,Servicio de transporte automotor de pasajeros n.c.p.,492,Servicio de transporte automotor,49,Transporte terrestre y por tuberías,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
501100,26,previaje 3,27,Servicio de transporte marítimo de pasajeros,501,Servicio de transporte marítimo,50,Transporte marítimo y pluvial,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
502101,20,previaje 3,20,Servicio de transporte fluvial y lacustre de pasajeros,502,Servicio de transporte fluvial y lacustre,50,Transporte marítimo y pluvial,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
511000,6,previaje 3,6,Servicio de transporte aéreo de pasajeros,511,Servicio de transporte aéreo de pasajeros,51,Transporte aéreo,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
551022,1443,previaje 3,1648,"Servicios de alojamiento en hoteles, hosterías y residenciales similares, excepto por hora, que incluyen servicio de restaurante al público",551,"Servicios de alojamiento, excepto en camping",55,Servicios de alojamiento,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
551023,3153,previaje 3,3398,"Servicios de alojamiento en hoteles, hosterías y residenciales similares, excepto por hora, que no incluyen servicio de restaurante al público",551,"Servicios de alojamiento, excepto en camping",55,Servicios de alojamiento,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
551090,2417,previaje 3,2629,"Servicios de hospedaje temporal n.c.p. (Incluye hospedaje en estancias, residencias para estudiantes y albergues juveniles, apartamentos turísticos, etc.)",551,"Servicios de alojamiento, excepto en camping",55,Servicios de alojamiento,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
552000,98,previaje 3,103,Servicios de alojamiento en campings (Incluye refugios de montaña),552,Servicios de alojamiento en campings,55,Servicios de alojamiento,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
771110,238,previaje 3,338,Alquiler de automóviles sin conductor,771,Alquiler de vehículos automotores y equipo de transporte sin conductor ni operarios,77,Alquiler y leasing,N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
771190,40,previaje 3,61,"Alquiler de vehículos automotores n.c.p., sin conductor ni operarios (Incluye: camiones, remolques, etc.)",771,Alquiler de vehículos automotores y equipo de transporte sin conductor ni operarios,77,Alquiler y leasing,N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
771290,15,previaje 3,17,"Alquiler de equipo de transporte n.c.p. sin conductor ni operarios (Incluye: equipo ferroviario, motocicletas)",771,Alquiler de vehículos automotores y equipo de transporte sin conductor ni operarios,77,Alquiler y leasing,N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
791100,3299,previaje 3,3496,Servicios minoristas de agencias de viajes,791,Servicios de agencias de viaje y otras actividades complementarias de apoyo turístico,79,"Agencias de viajes, servicios de reservas y actividades conexas",N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
791200,272,previaje 3,298,Servicios mayoristas de agencias de viajes,791,Servicios de agencias de viaje y otras actividades complementarias de apoyo turístico,79,"Agencias de viajes, servicios de reservas y actividades conexas",N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
791901,304,previaje 3,326,Servicios de turismo aventura,791,Servicios de agencias de viaje y otras actividades complementarias de apoyo turístico,79,"Agencias de viajes, servicios de reservas y actividades conexas",N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
791909,427,previaje 3,459,Servicios complementarios de apoyo turístico n.c.p.,791,Servicios de agencias de viaje y otras actividades complementarias de apoyo turístico,79,"Agencias de viajes, servicios de reservas y actividades conexas",N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
841100,1,previaje 3,1,"Servicios generales de la Administración Pública (Incluye el desempeño de funciones ejecutivas y legislativas de administración por parte de las entidades de la administración central, regional y local, la administración y supervisión de asuntos fiscales, la aplicación del presupuesto y la gestión de los fondos públicos y la deuda pública, la gestión administrativa de servicios estadísticos y sociológicos y de planificación social y económica a distintos niveles de la administración)",841,Servicios de la Administración Pública,84,"Administración pública, defensa y seguridad social",O,"ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA"
910200,5,previaje 3,5,Servicios de museos y preservación de lugares y edificios históricos,910,"Servicios de bibliotecas, archivos y museos y  servicios culturales ncp",91,"Servicios de bibliotecas, archivos y museos y  servicios culturales n.c.p.",R,"SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO"
910300,4,previaje 3,4,"Servicios de jardines botánicos, zoológicos y de parques nacionales",910,"Servicios de bibliotecas, archivos y museos y  servicios culturales ncp",91,"Servicios de bibliotecas, archivos y museos y  servicios culturales n.c.p.",R,"SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO"
939010,17,previaje 3,17,Servicios de parques de diversiones y parques temáticos,939,Servicios de esparcimiento ncp,93,"Actividades deportivas, recreativas y de entretenimiento",R,"SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO"
942000,3,previaje 3,3,Servicios de sindicatos,942,Servicios de sindicatos,94,Servicios de asociaciones,S,SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES
949910,14,previaje 3,14,"Servicios de mutuales, excepto mutuales de salud y financieras",949,Servicios de asociaciones ncp,94,Servicios de asociaciones,S,SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES
949990,26,previaje 3,38,Servicios de asociaciones n.c.p.,949,Servicios de asociaciones ncp,94,Servicios de asociaciones,S,SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES
